model,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_recall_mean,cv_precision_mean,test_roc_auc,test_f1,test_recall,test_precision,optimal_threshold,tuned_test_f1,tuned_test_recall
logistic_regression,0.7732,0.025,0.224,0.4824,0.1459,0.7884,0.2731,0.62,0.1751,,,
decision_tree,0.7732,0.0241,0.1803,0.5369,0.1089,0.7522,0.185,0.64,0.1081,,,
random_forest,0.791,0.0283,0.1818,0.3569,0.1221,0.7747,0.2009,0.44,0.1302,0.2456,0.183,0.82
xgboost,0.7887,0.0363,0.1855,0.7891,0.1051,0.7767,0.1724,0.8,0.0966,,,
lightgbm,0.789,0.036,0.1839,0.8192,0.1036,0.7898,0.1756,0.82,0.0983,,,
